DiseaseID,DiseaseName,DiseaseDescription,SlimMapping,PathwayNames
MESH:D002561,Cerebrovascular Disorders,"A spectrum of pathological conditions of impaired blood flow in the brain. They can involve vessels (ARTERIES or VEINS) in the CEREBRUM, the CEREBELLUM, and the BRAIN STEM. Major categories include INTRACRANIAL ARTERIOVENOUS MALFORMATIONS; BRAIN ISCHEMIA; CEREBRAL HEMORRHAGE; and others.","['Cardiovascular disease', 'Nervous system disease']",Transcriptional misregulation in cancer
MESH:D002607,Charcot-Marie-Tooth Disease,"A hereditary motor and sensory neuropathy transmitted most often as an autosomal dominant trait and characterized by progressive distal wasting and loss of reflexes in the muscles of the legs (and occasionally involving the arms). Onset is usually in the second to fourth decade of life. This condition has been divided into two subtypes, hereditary motor and sensory neuropathy (HMSN) types I and II. HMSN I is associated with abnormal nerve conduction velocities and nerve hypertrophy, features not seen in HMSN II. (Adams et al., Principles of Neurology, 6th ed, p1343)","['Congenital abnormality', 'Genetic disease (inborn)', 'Nervous system disease']",TRP channels
MESH:D056486,Chemical and Drug Induced Liver Injury,"A spectrum of clinical liver diseases ranging from mild biochemical abnormalities to ACUTE LIVER FAILURE, caused by drugs, drug metabolites, herbal and dietary supplements and chemicals from the environment.",['Digestive system disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D002637,Chest Pain,"Pressure, burning, or numbness in the chest.",['Signs and symptoms'],Signal Transduction
MESH:D002659,"Child Development Disorders, Pervasive","Severe distortions in the development of many basic psychological functions that are not normal for any stage in development. These distortions are manifested in sustained social impairment, speech abnormalities, and peculiar motor movements.",['Mental disorder'],Signal Transduction
MESH:D023341,Chills,The sudden sensation of being cold. It may be accompanied by SHIVERING.,['Signs and symptoms'],Type I diabetes mellitus
MESH:D002690,Chlamydia Infections,Infections with bacteria of the genus CHLAMYDIA.,['Bacterial infection or mycosis'],Type II diabetes mellitus
MESH:D018281,Cholangiocarcinoma,A malignant tumor arising from the epithelium of the BILE DUCTS.,['Cancer'],Wnt signaling pathway
MESH:D002761,Cholangitis,"Inflammation of the biliary ductal system (BILE DUCTS); intrahepatic, extrahepatic, or both.",['Digestive system disease'],Vesicle-mediated transport
MESH:D015209,"Cholangitis, Sclerosing","Chronic inflammatory disease of the BILIARY TRACT. It is characterized by fibrosis and hardening of the intrahepatic and extrahepatic biliary ductal systems leading to bile duct strictures, CHOLESTASIS, and eventual BILIARY CIRRHOSIS.",['Digestive system disease'],Ub-specific processing proteases
MESH:D042883,Choledocholithiasis,Presence or formation of GALLSTONES in the COMMON BILE DUCT.,['Digestive system disease'],Metabolism of amino acids and derivatives
MESH:D002769,Cholelithiasis,"Presence or formation of GALLSTONES in the BILIARY TRACT, usually in the gallbladder (CHOLECYSTOLITHIASIS) or the common bile duct (CHOLEDOCHOLITHIASIS).",['Digestive system disease'],Metabolism of amino acids and derivatives
MESH:D002779,Cholestasis,Impairment of bile flow due to obstruction in small bile ducts (INTRAHEPATIC CHOLESTASIS) or obstruction in large bile ducts (EXTRAHEPATIC CHOLESTASIS).,['Digestive system disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D001651,"Cholestasis, Extrahepatic",Impairment of bile flow in the large BILE DUCTS by mechanical obstruction or stricture due to benign or malignant processes.,['Digestive system disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D002780,"Cholestasis, Intrahepatic","Impairment of bile flow due to injury to the HEPATOCYTES; BILE CANALICULI; or the intrahepatic bile ducts (BILE DUCTS, INTRAHEPATIC).",['Digestive system disease'],Vibrio cholerae infection
MESH:D002805,Chondrocalcinosis,"Presence of CALCIUM PYROPHOSPHATE in the connective tissues such as the cartilaginous structures of  joints. When accompanied by GOUT-like symptoms, it is referred to as pseudogout.",['Musculoskeletal disease'],Signal Transduction
MESH:D002806,Chondrodysplasia Punctata,"A heterogeneous group of bone dysplasias, the common character of which is stippling of the epiphyses in infancy. The group includes a severe autosomal recessive form (CHONDRODYSPLASIA PUNCTATA, RHIZOMELIC), an autosomal dominant form (Conradi-Hunermann syndrome), and a milder X-linked form. Metabolic defects associated with impaired peroxisomes are present only in the rhizomelic form.",['Musculoskeletal disease'],Steroid biosynthesis
MESH:D002813,Chondrosarcoma,"A slowly growing malignant neoplasm derived from cartilage cells, occurring most frequently in pelvic bones or near the ends of long bones, in middle-aged and old people. Most chondrosarcomas arise de novo, but some may develop in a preexisting benign cartilaginous lesion or in patients with ENCHONDROMATOSIS. (Stedman, 25th ed)",['Cancer'],Protein digestion and absorption
MESH:D002819,Chorea,"Involuntary, forcible, rapid, jerky movements that may be subtle or become confluent, markedly altering normal patterns of movement. Hypotonia and pendular reflexes are often associated. Conditions which feature recurrent or persistent episodes of chorea as a primary manifestation of disease are referred to as CHOREATIC DISORDERS. Chorea is also a frequent manifestation of BASAL GANGLIA DISEASES.","['Nervous system disease', 'Signs and symptoms']",Transmission across Chemical Synapses
MESH:D020256,Choroidal Neovascularization,A pathological process consisting of the formation of new blood vessels in the CHOROID.,"['Eye disease', 'Pathology (process)']",VEGF signaling pathway
MESH:D043171,Chromosomal Instability,"An increased tendency to acquire CHROMOSOME ABERRATIONS when various processes involved in chromosome replication, repair, or segregation are dysfunctional.",['Pathology (process)'],Viral mRNA Translation
MESH:D002869,Chromosome Aberrations,Abnormal number or structure of chromosomes. Chromosome aberrations may result in CHROMOSOME DISORDERS.,['Pathology (process)'],Viral carcinogenesis
MESH:D019457,Chromosome Breakage,A type of chromosomal aberration involving DNA BREAKS. Chromosome breakage can result in CHROMOSOMAL TRANSLOCATION; CHROMOSOME INVERSION; or SEQUENCE DELETION.,['Pathology (process)'],XBP1(S) activates chaperone genes
MESH:D002908,Chronic Disease,"Diseases which have one or more of the following characteristics: they are permanent, leave residual disability, are caused by nonreversible pathological alteration, require special training of the patient for rehabilitation, or may be expected to require a long period of supervision, observation, or care (Dictionary of Health Services Management, 2d ed). For epidemiological studies chronic disease often includes HEART DISEASES; STROKE; CANCER; and diabetes (DIABETES MELLITUS, TYPE 2).",['Pathology (process)'],Transmembrane transport of small molecules
MESH:D059350,Chronic Pain,"Aching sensation that persists for more than a few months. It may or may not be associated with trauma or disease, and may persist after the initial injury has healed. Its localization, character, and timing are more vague than with acute pain.",['Signs and symptoms'],Taste transduction
MESH:D021081,Chronobiology Disorders,Disruptions of the rhythmic cycle of bodily functions or activities.,['Nervous system disease'],Xenobiotics
MESH:D054221,Classical Lissencephalies and Subcortical Band Heterotopias,"Disorders comprising a spectrum of brain malformations representing the paradigm of a diffuse neuronal migration disorder. They result in cognitive impairment; SEIZURES; and HYPOTONIA or spasticity. Mutations of two genes, LIS1, the gene for the non-catalytic subunit of PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE IB; and DCX or XLIS, the gene for doublecortin, have been identified as the most common causes of disorders in this spectrum. Additional variants of classical (Type I) lissencephaly have been linked to RELN, the gene for reelin, and ARX, the gene for aristaless related homeobox protein. (From Leventer, R.J., et al, Mol Med Today. 2000 Jul;6(7):277-84 and Barkovich, A.J., et al, Neurology. 2005 Dec 27;65(12):1873-87.)","['Congenital abnormality', 'Genetic disease (inborn)', 'Nervous system disease']",Neurofascin interactions
MESH:D002971,Cleft Lip,Congenital defect in the upper lip where the maxillary prominence fails to merge with the merged medial nasal prominences. It is thought to be caused by faulty migration of the mesoderm in the head region.,"['Congenital abnormality', 'Mouth disease']",Wnt signaling pathway
MESH:D002972,Cleft Palate,"Congenital fissure of the soft and/or hard palate, due to faulty fusion.","['Congenital abnormality', 'Mouth disease', 'Musculoskeletal disease']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D003025,Clubfoot,"A deformed foot in which the foot is plantarflexed, inverted, and adducted.","['Congenital abnormality', 'Musculoskeletal disease']",One carbon pool by folate
MESH:D019970,Cocaine-Related Disorders,Disorders related or resulting from use of cocaine.,"['Mental disorder', 'Substance-related disorder']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D015834,Cochlear Diseases,"Pathological processes of the snail-like structure (COCHLEA) of the inner ear (LABYRINTH) which can involve its nervous tissue, blood vessels, or fluid (ENDOLYMPH).",['Ear-nose-throat disease'],Peroxisome
MESH:D003057,Cockayne Syndrome,A syndrome characterized by multiple system abnormalities including DWARFISM; PHOTOSENSITIVITY DISORDERS; PREMATURE AGING; and HEARING LOSS. It is caused by mutations of a number of autosomal recessive genes encoding proteins that involve transcriptional-coupled DNA REPAIR processes. Cockayne syndrome is classified by the severity and age of onset. Type I (classical; CSA) is early childhood onset in the second year of life; type II (congenital; CSB) is early onset at birth with severe symptoms; type III (xeroderma pigmentosum; XP) is late childhood onset with mild symptoms.,"['Congenital abnormality', 'Genetic disease (inborn)', 'Metabolic disease', 'Musculoskeletal disease', 'Nervous system disease']",Ubiquitin mediated proteolysis
MESH:D003072,Cognition Disorders,"Disorders characterized by disturbances in mental processes related to learning, thinking, reasoning, and judgment.",['Mental disorder'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D060825,Cognitive Dysfunction,Diminished or impaired mental and/or intellectual function.,['Mental disorder'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D003092,Colitis,"Inflammation of the COLON section of the large intestine (INTESTINE, LARGE), usually with symptoms such as DIARRHEA (often with blood and mucus), ABDOMINAL PAIN, and FEVER.",['Digestive system disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D003093,"Colitis, Ulcerative","Inflammation of the COLON that is predominantly confined to the MUCOSA. Its major symptoms include DIARRHEA, rectal BLEEDING, the passage of MUCUS, and ABDOMINAL PAIN.",['Digestive system disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D003103,Coloboma,Congenital anomaly in which some of the structures of the eye are absent due to incomplete fusion of the fetal intraocular fissure during gestation.,"['Congenital abnormality', 'Eye disease']",Viral myocarditis
MESH:D003110,Colonic Neoplasms,Tumors or cancer of the COLON.,"['Cancer', 'Digestive system disease']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D003111,Colonic Polyps,"Discrete tissue masses that protrude into the lumen of the COLON. These POLYPS are connected to the wall of the colon either by a stalk, pedunculus, or by a broad base.",['Pathology (anatomical condition)'],TRP channels
MESH:D015179,Colorectal Neoplasms,Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.,"['Cancer', 'Digestive system disease']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D003123,"Colorectal Neoplasms, Hereditary Nonpolyposis","A group of autosomal-dominant inherited diseases in which COLON CANCER arises in discrete adenomas. Unlike FAMILIAL POLYPOSIS COLI with hundreds of polyps, hereditary nonpolyposis colorectal neoplasms occur much later, in the fourth and fifth decades. HNPCC has been associated with germline mutations in mismatch repair (MMR) genes. It has been subdivided into Lynch syndrome I or site-specific colonic cancer, and LYNCH SYNDROME II which includes extracolonic cancer.","['Cancer', 'Digestive system disease', 'Genetic disease (inborn)', 'Metabolic disease']",Wnt signaling pathway
MESH:D003117,Color Vision Defects,"Defects of color vision are mainly hereditary traits but can be secondary to acquired or developmental abnormalities in the CONES (RETINA). Severity of hereditary defects of color vision depends on the degree of mutation of the ROD OPSINS genes (on X CHROMOSOME and CHROMOSOME 3) that code the photopigments for red, green and blue.","['Eye disease', 'Nervous system disease', 'Signs and symptoms']",Unfolded Protein Response (UPR)
MESH:D003128,Coma,A profound state of unconsciousness associated with depressed cerebral activity from which the individual cannot be aroused. Coma generally occurs when there is dysfunction or injury involving both cerebral hemispheres or the brain stem RETICULAR FORMATION.,"['Nervous system disease', 'Signs and symptoms']",Xenobiotics
MESH:D003161,Compartment Syndromes,"Conditions in which increased pressure within a limited space compromises the BLOOD CIRCULATION and function of tissue within that space. Some of the causes of increased pressure are TRAUMA, tight dressings, HEMORRHAGE, and exercise. Sequelae include nerve compression (NERVE COMPRESSION SYNDROMES); PARALYSIS; and ISCHEMIC CONTRACTURE. FASCIOTOMY is often used to decompress increased pressure and eliminate pain associated with compartment syndromes.","['Cardiovascular disease', 'Musculoskeletal disease']",Vesicle-mediated transport
MESH:D000013,Congenital Abnormalities,Malformations of organs or body parts during development in utero.,['Congenital abnormality'],Vesicle-mediated transport
MESH:D044903,Congenital Hyperinsulinism,"A familial, nontransient HYPOGLYCEMIA with defects in negative feedback of GLUCOSE-regulated INSULIN release. Clinical phenotypes include HYPOGLYCEMIA; HYPERINSULINEMIA; SEIZURES; COMA; and often large BIRTH WEIGHT. Several sub-types exist with the most common, type 1, associated with mutations on an ATP-BINDING CASSETTE TRANSPORTERS (subfamily C, member 8).","['Digestive system disease', 'Infant-newborn disease', 'Metabolic disease']",Type II diabetes mellitus
MESH:D003409,Congenital Hypothyroidism,"A condition in infancy or early childhood due to an in-utero deficiency of THYROID HORMONES that can be caused by genetic or environmental factors, such as thyroid dysgenesis or HYPOTHYROIDISM in infants of mothers treated with THIOURACIL during pregnancy. Endemic cretinism is the result of iodine deficiency. Clinical symptoms include severe MENTAL RETARDATION, impaired skeletal development, short stature, and MYXEDEMA.","['Endocrine system disease', 'Genetic disease (inborn)', 'Musculoskeletal disease']",Tyrosine metabolism
MESH:D065817,Congenital Microtia,Malformation of external portion of EAR AURICLE.,"['Congenital abnormality', 'Ear-nose-throat disease']",Small interfering RNA (siRNA) biogenesis
MESH:D003229,Conjunctival Diseases,Diseases involving the CONJUNCTIVA.,['Eye disease'],Programmed Cell Death
MESH:D003240,Connective Tissue Diseases,"A heterogeneous group of disorders, some hereditary, others acquired, characterized by abnormal structure or function of one or more of the elements of connective tissue, i.e., collagen, elastin, or the mucopolysaccharides.",['Connective tissue disease'],Extracellular matrix organization
MESH:D003248,Constipation,"Infrequent or difficult evacuation of FECES. These symptoms are associated with a variety of causes, including low DIETARY FIBER intake, emotional or nervous disturbances, systemic and structural disorders, drug-induced aggravation, and infections.",['Signs and symptoms'],"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"
MESH:D003286,Contracture,"Prolonged shortening of the muscle or other soft tissue around a joint, preventing movement of the joint.",['Musculoskeletal disease'],Uptake and function of anthrax toxins
MESH:D046349,"Coproporphyria, Hereditary","An autosomal dominant porphyria that is due to a deficiency of COPROPORPHYRINOGEN OXIDASE in the LIVER, the sixth enzyme in the 8-enzyme biosynthetic pathway of HEME. Clinical features include both neurological symptoms and cutaneous lesions. Patients excrete increased levels of porphyrin precursors, 5-AMINOLEVULINATE and COPROPORPHYRINS.","['Digestive system disease', 'Genetic disease (inborn)', 'Metabolic disease', 'Skin disease']",Porphyrin and chlorophyll metabolism
MESH:D003316,Corneal Diseases,Diseases of the cornea.,['Eye disease'],Transcriptional misregulation in cancer
MESH:D065306,Corneal Injuries,Damage or trauma inflicted to the CORNEA by external means.,"['Eye disease', 'Nervous system disease', 'Wounds and injuries']",Tyrosine metabolism
MESH:D016510,Corneal Neovascularization,"New blood vessels originating from the corneal blood vessels and extending from the limbus into the adjacent CORNEAL STROMA. Neovascularization in the superficial and/or deep corneal stroma is a sequel to numerous inflammatory diseases of the ocular anterior segment, such as TRACHOMA, viral interstitial KERATITIS, microbial KERATOCONJUNCTIVITIS, and the immune response elicited by CORNEAL TRANSPLANTATION.","['Eye disease', 'Pathology (process)']",VEGF signaling pathway
MESH:D003318,Corneal Opacity,Disorder occurring in the central or peripheral area of the cornea. The usual degree of transparency becomes relatively opaque.,['Eye disease'],Transport of inorganic cations/anions and amino acids/oligopeptides
MESH:D003320,Corneal Ulcer,"Loss of epithelial tissue from the surface of the cornea due to progressive erosion and necrosis of the tissue; usually caused by bacterial, fungal, or viral infection.",['Eye disease'],Wnt signaling pathway
MESH:D003323,Coronary Aneurysm,"Abnormal balloon- or sac-like dilatation in the wall of CORONARY VESSELS. Most coronary aneurysms are due to CORONARY ATHEROSCLEROSIS, and the rest are due to inflammatory diseases, such as KAWASAKI DISEASE.",['Cardiovascular disease'],Vesicle-mediated transport
MESH:D003324,Coronary Artery Disease,"Pathological processes of CORONARY ARTERIES that may derive from a congenital abnormality, atherosclerotic, or non-atherosclerotic cause.",['Cardiovascular disease'],VLDLR internalisation and degradation
MESH:D003327,Coronary Disease,An imbalance between myocardial functional requirements and the capacity of the CORONARY VESSELS to supply sufficient blood flow. It is a form of MYOCARDIAL ISCHEMIA (insufficient blood supply to the heart muscle) caused by a decreased capacity of the coronary vessels.,['Cardiovascular disease'],Wnt signaling pathway
MESH:D023903,Coronary Restenosis,Recurrent narrowing or constriction of a coronary artery following surgical procedures performed to alleviate a prior obstruction.,['Cardiovascular disease'],Type II diabetes mellitus
MESH:D023921,Coronary Stenosis,Narrowing or constriction of a coronary artery.,['Cardiovascular disease'],YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D003328,Coronary Thrombosis,Coagulation of blood in any of the CORONARY VESSELS. The presence of a blood clot (THROMBUS) often leads to MYOCARDIAL INFARCTION.,['Cardiovascular disease'],VEGFR2 mediated cell proliferation
MESH:D003329,Coronary Vasospasm,Spasm of the large- or medium-sized coronary arteries.,['Cardiovascular disease'],VEGF signaling pathway
MESH:D003330,Coronary Vessel Anomalies,"Malformations of CORONARY VESSELS, either arteries or veins. Included are anomalous origins of coronary arteries; ARTERIOVENOUS FISTULA; CORONARY ANEURYSM; MYOCARDIAL BRIDGING; and others.","['Cardiovascular disease', 'Congenital abnormality']",Sulfur amino acid metabolism
MESH:D018352,Coronavirus Infections,"Virus diseases caused by the CORONAVIRUS genus. Some specifics include transmissible enteritis of turkeys (ENTERITIS, TRANSMISSIBLE, OF TURKEYS); FELINE INFECTIOUS PERITONITIS; and transmissible gastroenteritis of swine (GASTROENTERITIS, TRANSMISSIBLE, OF SWINE).",['Viral disease'],Viral carcinogenesis
MESH:D003371,Cough,"A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation. It is a protective response that serves to clear the trachea, bronchi, and/or lungs of irritants and secretions, or to prevent aspiration of foreign materials into the lungs.","['Respiratory tract disease', 'Signs and symptoms']",TRP channels
MESH:D003384,Coxsackievirus Infections,"A heterogeneous group of infections produced by coxsackieviruses, including HERPANGINA, aseptic meningitis (MENINGITIS, ASEPTIC), a common-cold-like syndrome, a non-paralytic poliomyelitis-like syndrome, epidemic pleurodynia (PLEURODYNIA, EPIDEMIC) and a serious MYOCARDITIS.",['Viral disease'],Type II diabetes mellitus
MESH:D006259,Craniocerebral Trauma,"Traumatic injuries involving the cranium and intracranial structures (i.e., BRAIN; CRANIAL NERVES; MENINGES; and other structures). Injuries may be classified by whether or not the skull is penetrated (i.e., penetrating vs. nonpenetrating) or whether there is an associated hemorrhage.","['Nervous system disease', 'Wounds and injuries']",Intrinsic Pathway of Fibrin Clot Formation
MESH:D019465,Craniofacial Abnormalities,"Congenital structural deformities, malformations, or other abnormalities of the cranium and facial bones.","['Congenital abnormality', 'Musculoskeletal disease']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D003394,Craniofacial Dysostosis,Autosomal dominant CRANIOSYNOSTOSIS with shallow ORBITS; EXOPHTHALMOS; and maxillary hypoplasia.,"['Congenital abnormality', 'Musculoskeletal disease']",VEGFR2 mediated cell proliferation
MESH:D003398,Craniosynostoses,Premature closure of one or more CRANIAL SUTURES. It often results in plagiocephaly. Craniosynostoses that involve multiple sutures are sometimes associated with congenital syndromes such as ACROCEPHALOSYNDACTYLIA; and CRANIOFACIAL DYSOSTOSIS.,"['Congenital abnormality', 'Musculoskeletal disease']",VEGFR2 mediated cell proliferation
MESH:D007562,Creutzfeldt-Jakob Syndrome,"A rare transmissible encephalopathy most prevalent between the ages of 50 and 70 years. Affected individuals may present with sleep disturbances, personality changes, ATAXIA; APHASIA, visual loss, weakness, muscle atrophy, MYOCLONUS, progressive dementia, and death within one year of disease onset. A familial form exhibiting autosomal dominant inheritance and a new variant CJD (potentially associated with ENCEPHALOPATHY, BOVINE SPONGIFORM) have been described. Pathological features include prominent cerebellar and cerebral cortical spongiform degeneration and the presence of PRIONS. (From N Engl J Med, 1998 Dec 31;339(27))","['Mental disorder', 'Nervous system disease']",Viral myocarditis
MESH:D016638,Critical Illness,A disease or state in which death is possible or imminent.,['Pathology (process)'],Steroid hormone biosynthesis
MESH:D003424,Crohn Disease,"A chronic transmural inflammation that may involve any part of the DIGESTIVE TRACT from MOUTH to ANUS, mostly found in the ILEUM, the CECUM, and the COLON. In Crohn disease, the inflammation, extending through the intestinal wall from the MUCOSA to the serosa, is characteristically asymmetric and segmental. Epithelioid GRANULOMAS may be seen in some patients.",['Digestive system disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D003456,Cryptorchidism,A developmental defect in which a TESTIS or both TESTES failed to descend from high in the ABDOMEN to the bottom of the SCROTUM. Testicular descent is essential to normal SPERMATOGENESIS which requires temperature lower than the BODY TEMPERATURE. Cryptorchidism can be subclassified by the location of the maldescended testis.,"['Congenital abnormality', 'Endocrine system disease', 'Urogenital disease (male)']",Viral myocarditis
MESH:D003480,Cushing Syndrome,"A condition caused by prolonged exposure to excess levels of cortisol (HYDROCORTISONE) or other GLUCOCORTICOIDS from endogenous or exogenous sources. It is characterized by upper body OBESITY; OSTEOPOROSIS; HYPERTENSION; DIABETES MELLITUS; HIRSUTISM; AMENORRHEA; and excess body fluid. Endogenous Cushing syndrome or spontaneous hypercortisolism is divided into two groups, those due to an excess of ADRENOCORTICOTROPIN and those that are ACTH-independent.",['Endocrine system disease'],Wnt signaling pathway
MESH:D003490,Cyanosis,A bluish or purplish discoloration of the skin and mucous membranes due to an increase in the amount of deoxygenated hemoglobin in the blood or a structural defect in the hemoglobin molecule.,['Signs and symptoms'],Vitamin C (ascorbate) metabolism
MESH:D003550,Cystic Fibrosis,"An autosomal recessive genetic disease of the EXOCRINE GLANDS. It is caused by mutations in the gene encoding the CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR expressed in several organs including the LUNG, the PANCREAS, the BILIARY SYSTEM, and the SWEAT GLANDS. Cystic fibrosis is characterized by epithelial secretory dysfunction associated with ductal obstruction resulting in AIRWAY OBSTRUCTION; chronic RESPIRATORY INFECTIONS; PANCREATIC INSUFFICIENCY; maldigestion; salt depletion; and HEAT PROSTRATION.","['Digestive system disease', 'Genetic disease (inborn)', 'Infant-newborn disease', 'Respiratory tract disease']",Vibrio cholerae infection
MESH:D003554,Cystinosis,"A metabolic disease characterized by the defective transport of CYSTINE across the lysosomal membrane due to mutation of a membrane protein cystinosin. This results in cystine accumulation and crystallization in the cells causing widespread tissue damage. In the KIDNEY, nephropathic cystinosis is a common cause of RENAL FANCONI SYNDROME.","['Genetic disease (inborn)', 'Metabolic disease']",Transport of inorganic cations/anions and amino acids/oligopeptides
MESH:D003556,Cystitis,"Inflammation of the URINARY BLADDER, either from bacterial or non-bacterial causes. Cystitis is usually associated with painful urination (dysuria), increased frequency, urgency, and suprapubic pain.","['Urogenital disease (female)', 'Urogenital disease (male)']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D018856,"Cystitis, Interstitial",A condition with recurring discomfort or pain in the URINARY BLADDER and the surrounding pelvic region without an identifiable disease. Severity of pain in interstitial cystitis varies greatly and often is accompanied by increased urination frequency and urgency.,"['Urogenital disease (female)', 'Urogenital disease (male)']",Toll-like receptor signaling pathway
MESH:D003560,Cysts,"Any fluid-filled closed cavity or sac that is lined by an EPITHELIUM. Cysts can be of normal, abnormal, non-neoplastic, or neoplastic tissues.","['Cancer', 'Pathology (anatomical condition)']",VxPx cargo-targeting to cilium
MESH:D030401,Cytochrome-c Oxidase Deficiency,"A disease that results from a congenital defect in ELECTRON TRANSPORT COMPLEX IV. Defects in ELECTRON TRANSPORT COMPLEX IV can be caused by mutations in the SURF1, SCO2, COX10, or SCO1 genes. ELECTRON TRANSPORT COMPLEX IV deficiency caused by mutation in SURF1 manifests itself as LEIGH DISEASE; that caused by mutation in SCO2 as fatal infantile cardioencephalomyopathy; that caused by mutation in COX10 as tubulopathy and leukodystrophy; and that caused by mutation in SCO1 as early-onset hepatic failure and neurologic disorder. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#220110, May 17, 2001)","['Genetic disease (inborn)', 'Metabolic disease']",Transcriptional Regulation by TP53
MESH:D003586,Cytomegalovirus Infections,"Infection with CYTOMEGALOVIRUS, characterized by enlarged cells bearing intranuclear inclusions. Infection may be in almost any organ, but the salivary glands are the most common site in children, as are the lungs in adults.",['Viral disease'],Tuberculosis
MESH:D007644,Darier Disease,"An autosomal dominantly inherited skin disorder characterized by warty malodorous papules that coalesce into plaques. It is caused by mutations in the ATP2A2 gene encoding SERCA2 protein, one of the SARCOPLASMIC RETICULUM CALCIUM-TRANSPORTING ATPASES. The condition is similar, clinically and histologically, to BENIGN FAMILIAL PEMPHIGUS, another autosomal dominant skin disorder. Both diseases have defective calcium pumps (CALCIUM-TRANSPORTING ATPASES) and unstable desmosomal adhesion junctions (DESMOSOMES) between KERATINOCYTES.","['Genetic disease (inborn)', 'Skin disease']",Transmembrane transport of small molecules
MESH:D003638,Deafness,A general term for the complete loss of the ability to hear from both ears.,"['Ear-nose-throat disease', 'Nervous system disease', 'Signs and symptoms']",Wnt signaling pathway
MESH:D003643,Death,"Irreversible cessation of all bodily functions, manifested by absence of spontaneous breathing and total loss of cardiovascular and cerebral functions.",['Pathology (process)'],Vitamin digestion and absorption
MESH:D003645,"Death, Sudden","The abrupt cessation of all vital bodily functions, manifested by the permanent loss of total cerebral, respiratory, and cardiovascular functions.",['Pathology (process)'],TRP channels
MESH:D016757,"Death, Sudden, Cardiac","Unexpected rapid natural death due to cardiovascular collapse within one hour of initial symptoms. It is usually caused by the worsening of existing heart diseases. The sudden onset of symptoms, such as CHEST PAIN and CARDIAC ARRHYTHMIAS, particularly VENTRICULAR TACHYCARDIA, can lead to the loss of consciousness and cardiac arrest followed by biological death. (from Braunwald's Heart Disease: A Textbook of Cardiovascular Medicine, 7th ed., 2005)","['Cardiovascular disease', 'Pathology (process)']",XBP1(S) activates chaperone genes
MESH:D003677,Deficiency Diseases,"A condition produced by dietary or metabolic deficiency. The term includes all diseases caused by an insufficient supply of essential nutrients, i.e., protein (or amino acids), vitamins, and minerals. It also includes an inadequacy of calories. (From Dorland, 27th ed; Stedman, 25th ed)",['Nutrition disorder'],"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"
MESH:D003680,Deglutition Disorders,Difficulty in SWALLOWING which may result from neuromuscular disorder or mechanical obstruction. Dysphagia is classified into two distinct types: oropharyngeal dysphagia due to malfunction of the PHARYNX and UPPER ESOPHAGEAL SPHINCTER; and esophageal dysphagia due to malfunction of the ESOPHAGUS.,"['Digestive system disease', 'Ear-nose-throat disease']",tRNA processing in the nucleus
MESH:D003681,Dehydration,The condition that results from excessive loss of water from a living organism.,"['Metabolic disease', 'Pathology (process)']",Vesicle-mediated transport
MESH:D055191,Delayed Emergence from Anesthesia,"Abnormally slow pace of regaining CONSCIOUSNESS after general anesthesia (ANESTHESIA, GENERAL) usually given during surgical procedures. This condition is characterized by persistent somnolence.",['Pathology (process)'],Immune System
MESH:D003704,Dementia,"An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning. The dysfunction is multifaceted and involves memory, behavior, personality, judgment, attention, spatial relations, language, abstract thought, and other executive functions. The intellectual decline is usually progressive, and initially spares the level of consciousness.","['Mental disorder', 'Nervous system disease']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D003711,Demyelinating Diseases,Diseases characterized by loss or dysfunction of myelin in the central or peripheral nervous system.,['Nervous system disease'],Wnt signaling pathway
